ID,NonBurned,Burned,Harvested,%NonBurned,%Burned,%Harvested
589,1559,41,0,0.974,0.026,0.000
590,975,625,0,0.609,0.391,0.000
591,1248,352,0,0.780,0.220,0.000
592,1113,487,0,0.696,0.304,0.000
593,1276,324,0,0.797,0.203,0.000
594,1328,272,0,0.830,0.170,0.000
595,1360,240,0,0.850,0.150,0.000
596,1507,93,0,0.942,0.058,0.000
597,889,711,0,0.556,0.444,0.000
598,1437,163,0,0.898,0.102,0.000
599,1175,425,0,0.734,0.266,0.000
600,1016,584,0,0.635,0.365,0.000
601,976,624,0,0.610,0.390,0.000
602,991,609,0,0.619,0.381,0.000
603,1600,0,0,1.000,0.000,0.000
604,1115,485,0,0.697,0.303,0.000
605,1376,224,0,0.860,0.140,0.000
606,974,626,0,0.609,0.391,0.000
607,1549,51,0,0.968,0.032,0.000
608,1600,0,0,1.000,0.000,0.000
609,1599,1,0,0.999,0.001,0.000
610,1421,179,0,0.888,0.112,0.000
611,1371,229,0,0.857,0.143,0.000
612,1168,432,0,0.730,0.270,0.000
613,1525,75,0,0.953,0.047,0.000
614,1099,501,0,0.687,0.313,0.000
615,1443,157,0,0.902,0.098,0.000
616,1227,373,0,0.767,0.233,0.000
617,1542,58,0,0.964,0.036,0.000
618,1433,167,0,0.896,0.104,0.000
619,1081,519,0,0.676,0.324,0.000
620,1416,184,0,0.885,0.115,0.000
621,1331,269,0,0.832,0.168,0.000
622,1014,586,0,0.634,0.366,0.000
623,1312,288,0,0.820,0.180,0.000
624,1600,0,0,1.000,0.000,0.000
625,1263,337,0,0.789,0.211,0.000
626,1599,1,0,0.999,0.001,0.000
627,1006,594,0,0.629,0.371,0.000
628,1599,1,0,0.999,0.001,0.000
629,1600,0,0,1.000,0.000,0.000
630,976,624,0,0.610,0.390,0.000
631,899,701,0,0.562,0.438,0.000
632,1199,401,0,0.749,0.251,0.000
633,1539,61,0,0.962,0.038,0.000
634,1260,340,0,0.787,0.212,0.000
635,984,616,0,0.615,0.385,0.000
636,1314,286,0,0.821,0.179,0.000
637,940,660,0,0.588,0.412,0.000
638,933,667,0,0.583,0.417,0.000
639,1302,298,0,0.814,0.186,0.000
640,1367,233,0,0.854,0.146,0.000
641,1350,250,0,0.844,0.156,0.000
642,1207,393,0,0.754,0.246,0.000
643,1235,365,0,0.772,0.228,0.000
644,1032,568,0,0.645,0.355,0.000
645,856,744,0,0.535,0.465,0.000
646,992,608,0,0.620,0.380,0.000
647,1450,150,0,0.906,0.094,0.000
648,860,740,0,0.537,0.463,0.000
649,730,870,0,0.456,0.544,0.000
650,1442,158,0,0.901,0.099,0.000
651,925,675,0,0.578,0.422,0.000
652,1051,549,0,0.657,0.343,0.000
653,1531,69,0,0.957,0.043,0.000
654,991,609,0,0.619,0.381,0.000
655,1537,63,0,0.961,0.039,0.000
656,1028,572,0,0.642,0.357,0.000
657,1539,61,0,0.962,0.038,0.000
658,969,631,0,0.606,0.394,0.000
659,1157,443,0,0.723,0.277,0.000
660,779,821,0,0.487,0.513,0.000
